问题,答案,参考,us3路径
2024年以来，海通证券金融工程团队构建的沪深300增强组合的累计收益率是多少，超额收益是多少？,2024年以来，沪深300增强组合累计收益率为20.15%，同期沪深300指数收益率为12.67%，超额收益为7.49%。,2024年以来，沪深300增强组合累计收益率为20.15%，同期沪深300指数收益率为12.67%，超额收益为7.49%。,pdf/2024-12-12/email_f472b392-be22-559c-bdad-ead07bbaccb6.md
2024年11月以来，海通证券金融工程团队构建的PB-盈利优选组合累计收益率和超额收益是多少？,2024年11月以来，PB-盈利优选组合累计收益率为-0.02%，同期沪深300指数收益率为-0.65%，超额收益为0.63%。,2024年11月以来，PB-盈利优选组合累计收益率为-0.02%，同期沪深300指数收益率为-0.65%，超额收益为0.63%。,pdf/2024-12-12/email_f472b392-be22-559c-bdad-ead07bbaccb6.md
2024年以来，海通证券金融工程团队构建的小盘成长组合的累计收益率和超额收益是多少？,2024年以来，小盘成长组合累计收益率为10.50%，同期微盘股指数收益率为11.96%，超额收益为-1.47%。,2024年以来，小盘成长组合累计收益率为10.50%，同期微盘股指数收益率为11.96%，超额收益为-1.47%。,pdf/2024-12-12/email_f472b392-be22-559c-bdad-ead07bbaccb6.md
2024年1-10月中集集团、中集安瑞科所在航运装备板块中集装箱船和集装箱的出口增速如何？,2024年1-10月集装箱船累计出口金额147.1亿美元，同比增长91.9%；集装箱累计出口金额137.3亿美元，同比增长104.0%。,集装箱船：10月出口8.8亿美元，同比-28.2%，1-10月累计147.1亿美元，同比增长91.9%。集装箱：10月出口16.7亿美元，同比+186.6%，1-10月累计137.3亿美元，同比增长104.0%。,pdf/2024-12-12/email_1a4b635e-5dc7-57ee-adb6-65bcd72a6a96.md
百润股份2024年归属于母公司股东的净利润预测是多少？,百润股份2024年归母净利润预测为7.8亿元。,结合公司规划和前三季度业绩表现，我们略调整2024-2026年营收为32.4/37.1/41.8亿元（前值32.7、37.4、41.6亿元），同比-1%、+14%、+13%；归母净利润7.8、9.0、10.2亿元（前值7.9、9.1、10.5亿元），同比-4%、+15%、14%，对应PE为32、28、25倍，维持“买入”评级。,pdf/2024-12-12/email_5250cc13-d6de-56c9-b089-a221b21c7e44.md
截至最新报告期，百润股份的资产负债率是多少？,百润股份的资产负债率为42.54%。,"基础数据
每股净资产(元,LF)：4.17
资产负债率(%,LF)：42.54
总股本(百万股)：1,049.37
流通A股(百万股)：716.39",pdf/2024-12-12/email_5250cc13-d6de-56c9-b089-a221b21c7e44.md
百润股份2023年的营业总收入及同比增长率是多少？,百润股份2023年营业总收入为32.64亿元，同比增长率为25.85%。,"盈利预测与估值
营业总收入（百万元）：2593（2022A），3264（2023A）
同比(%)：-0.04（2022A），25.85（2023A）",pdf/2024-12-12/email_5250cc13-d6de-56c9-b089-a221b21c7e44.md
2024年11月18日至11月22日期间，中际旭创、新易盛、天孚通信的股价表现如何？,截至收盘，中际旭创、新易盛、天孚通信分别下跌5.85%、7.6%、4.76%。,国内市场上，由于缺乏利好消息，加上成交持续缩减，投资者入市意欲不大，本周A股市场出现不同程度的下跌，截至收盘，中际旭创、新易盛、天孚通信分别下跌5.85%、7.6%、4.76%。,pdf/2024-12-12/email_78eb4a2b-6f3d-562b-8ad8-cd6730e6dd74.md
平安宁波交投REIT在2021-2023年度及2024年上半年营业收入和净利润分别是多少？,2021-2023年度及2024年1-6月，平安宁波交投REIT营业收入分别为19.61亿元、16.55亿元、21.36亿元、10.41亿元；净利润分别为8.03亿元、6.81亿元、9.38亿元、4.70亿元。,2021-2023年度及2024年1-6月，本项目营业收入分别为19.61、16.55、21.36、10.41亿元；净利润分别为8.03、6.81、9.38、4.70亿元。,pdf/2024-12-12/email_a03f3f61-9a9b-585b-b32b-4c8d202cb12b.md
平安宁波交投REIT项目2025年预测净现金流分派率是多少？相比可比REITs有何优势？,平安宁波交投REIT预测2025年净现金流分派率为14.27%，高于工银河北高速REIT、招商高速公路REIT和华夏南京交通高速公路REIT等可比REITs。,假设100%分配，以招募说明书披露的假定预计募资75.80亿元计算，本基金2024年11月11日-12月31日/2025年的预测净现金流分派率分别为3.05%/14.27%，其中，2025年高于工银河北高速REIT、招商高速公路REIT和华夏南京交通高速公路REIT。,pdf/2024-12-12/email_a03f3f61-9a9b-585b-b32b-4c8d202cb12b.md
平安宁波交投REIT的资产评估增值率和折现率分别为多少？在行业中处于什么水平？,截至2024年6月30日，平安宁波交投REIT项目估价总值较账面价值的增值率为90.16%；项目评估采用折现率为10.23%，均高于可比REITs均值。,项目估价总值为99.00亿元，账面价值为52.06亿元，项目估价总值较账面价值的增值率为90.16%，高于可比REITs均值，处于可比REITs中游水平。...本次评估采用的报酬率即折现率为10.23%。...与已发行上市高速公路REITs项目相比均处于偏高水平。,pdf/2024-12-12/email_a03f3f61-9a9b-585b-b32b-4c8d202cb12b.md
海通证券研究所的首席经济学家是谁？持有的SAC执业证书编号是多少？,海通证券研究所的首席经济学家是荀玉根，持有的SAC执业证书编号是S0850511040006。,姓名：荀玉根 职级：首席经济学家 SAC执业证书编号：S0850511040006,pdf/2024-12-12/email_3721a903-f281-582a-b746-f011e63dff38.md
2024年海通证券研究所聘用的首席分析师有谁？其联系方式是什么？,2024年海通证券研究所聘用的首席分析师是吴信坤，其联系电话为021-23154147，邮箱是wxk12750@haitong.com。,姓名：吴信坤 职级：首席分析师 SAC执业证书编号：S0850521070001 联系电话：021-23154147 邮箱：wxk12750@haitong.com,pdf/2024-12-12/email_3721a903-f281-582a-b746-f011e63dff38.md
海通证券研究所发布的研究报告主要适用哪些证券投资评级标准？,海通证券研究所发布的研究报告股票投资评级包括：优于大市（预期个股相对基准指数涨幅在10%以上）、中性（预期个股相对基准指数涨幅介于-10%与10%之间）、弱于大市（预期个股相对基准指数涨幅低于-10%及以下）、无评级（对于个股未来6个月市场表现与基准指数相比无明确观点）。行业投资评级标准类似。,股票投资评级：优于大市 预期个股相对基准指数涨幅在10%以上；中性 预期个股相对基准指数涨幅介于-10%与10%之间；弱于大市 预期个股相对基准指数涨幅低于-10%及以下；无评级 对于个股未来6个月市场表现与基准指数相比无明确观点。,pdf/2024-12-12/email_3721a903-f281-582a-b746-f011e63dff38.md
2024年11月第4周牧原股份、温氏股份、唐人神、天康生物、新五丰、京基智农、华统股份、巨星农牧等公司的投资关注原因是什么？,当前估值仍位于相对低位，关注估值与成本性价比凸显的龙头及低成本高成长标的，关注牧原股份、温氏股份、唐人神、天康生物、新五丰、京基智农、华统股份、巨星农牧等。,当前估值仍位于相对低位，关注估值与成本性价比凸显的龙头及低成本高成长标的，关注牧原股份、温氏股份、唐人神、天康生物、新五丰、京基智农、华统股份、巨星农牧等。,pdf/2024-12-12/email_8fdfa81d-7fa0-5bfe-9869-655475175347.md
2024年11月24日至2024年12月1日期间，国盛证券预计地方债净发行量是多少？,2024年12月1日当周，国盛证券预计地方债净发行为9322亿元。,下周预计国债净发行-300亿元，地方债净发行9322亿元，合计净发行9022亿元，国债和地方债净缴款预计合计7311亿元。,pdf/2024-12-12/email_5b1a2f7b-2f47-5619-91c5-495b1ce19b73.md
2024年11月以来，国盛证券统计的债基新发行规模是多少？,11月以来债基新发行规模358亿元。,债基新发行规模：以纯债基和一二级债基、被动指数债基口径统计，11月以来债基新发行规模358亿元。,pdf/2024-12-12/email_5b1a2f7b-2f47-5619-91c5-495b1ce19b73.md
2024年11月24日当周，国盛证券公开市场逆回购净投放额为多少？,2024年11月24日当周，央行逆回购净投放1868亿元。,本周央行逆回购投放18682亿元，逆回购到期18014亿元，合计净投放1868亿元。,pdf/2024-12-12/email_5b1a2f7b-2f47-5619-91c5-495b1ce19b73.md
紫金矿业在2024年和2025年的每股收益（EPS）预测值分别是多少？,紫金矿业在2024年的每股收益（EPS）预测为1.24元，在2025年为1.43元。,表4：有色金属行业重点公司估值 (元/股、元/股、倍、倍)...601899.SH 紫金矿业* 15.76 0.75 0.79 1.24 1.43 20 13 11 3.2,pdf/2024-12-12/email_2ba54df3-f77f-5836-870b-f4279261e7a4.md
2024年11月22日洛阳钼业的股价、市盈率（PE）和每股净资产（PB）分别是多少？,2024年11月22日洛阳钼业的股价为7.32元，2024年预测市盈率（PE）为15倍，每股净资产（PB）为2.5倍。,表4：有色金属行业重点公司估值 (元/股、元/股、倍、倍)...603993.SH 洛阳钼业* 7.32 0.28 0.38 0.48 0.53 19 15 14 2.5,pdf/2024-12-12/email_2ba54df3-f77f-5836-870b-f4279261e7a4.md
2024年天山铝业的预测市盈率（PE）和每股收益（EPS）是多少？,天山铝业2024年的预测市盈率（PE）为10倍，每股收益（EPS）预测为0.82元。,表4：有色金属行业重点公司估值 (元/股、元/股、倍、倍)...002532.SZ 天山铝业* 8.01 0.57 0.47 0.82 0.90 17 10 9 1.5,pdf/2024-12-12/email_2ba54df3-f77f-5836-870b-f4279261e7a4.md
截至2023年末，中国人身险公司保险营销人员人数是多少？与2019年高峰时期相比减少了多少人？,截至2023年末，人身险公司保险营销人员人数为281.34万人，较2019年高峰时期的912万人减少约631万人。,其中提到，截至2023年末，人身险公司保险营销人员人数为281.34万人，较2019年高峰时期的912万人减少约631万人，基本跌至十二年前的水平。,pdf/2024-12-12/email_ef4aaa85-15f3-5da7-9c69-55d2f4cc1cf9.md
华创证券对于中国平安公司在健康险领域的发展和投资建议如何？,华创证券推荐持续深耕“保险+健康管理”布局的中国平安，并建议关注健康险承保利润持续释放、增长动能强劲的公司。,推荐持续深耕“保险+健康管理”布局的中国平安，建议关注健康险承保利润持续释放、增长动能强劲的中国人保，以及健康生态占比高、盈利能力优秀的众安在线。,pdf/2024-12-12/email_ef4aaa85-15f3-5da7-9c69-55d2f4cc1cf9.md
2024年第三季度华利集团的营业收入和归母净利润同比增速分别是多少？,华利集团2024年第三季度营业收入为60.4亿元，同比增长18.5%；归母净利润为9.6亿元，同比增长16.1%。,华利集团：24Q1-3营收175亿元、同比增长22.4%，归母净利润28.4亿元、同比增长24.3%，扣非归母净利润28.0亿元、同比增长24.5%。24Q3营收60.4亿元，同比增长18.5%，归母净利润9.6亿元，同比增长16.1%，扣非净利润9.6亿元，同比增长17.4%。,pdf/2024-12-12/email_f7d27c7a-982e-5d2b-8257-06bb1737f075.md
2024年1-9月中国建筑新签订单增速是多少？,2024年1-9月中国建筑新签订单同比增长7.88%，较1-8月增速下降1.82个百分点。,24年1-9月中国电建、中国建筑、中国中冶、中国化学新签订单额分别同比+5.42%、+7.88%、-9.19%、+0.07%，较1-8月增速分别-1.63、-1.82、-2.70、-19.71pct;,pdf/2024-12-12/email_25e2b17b-faaf-5dde-9882-7032b61e22e3.md
2023年底亿联网络的分红率是多少，当前市值对应的股息收益率和PE分位数分别是多少？,亿联网络2023年底宣布分红率为87.9%，当前市值对应股息收益率为3.8%，PE分位数（2018年初起计算）仅为6%。,亿联网络有分红回报率组合和历史估值分位数优势，23年底宣布分红率为87.9%，当前市值对应股息收益率为3.8%，PE分位数（2018年初起计算）仅为6%，且业绩边际向好，估值修复空间大。,pdf/2024-12-12/email_3eddf140-257c-59a4-bb07-59ebd0aff1de.md
2024年前三季度，亿联网络的营收和归母净利润分别同比增长多少？净利率是多少？,2024年前三季度，亿联网络实现营收41.10亿元，同比增长27.5%；归母净利润20.65亿元，同比增长27.9%；净利率为50.24%。,24前三季度公司实现营收41.10亿元，同比增长27.5%，此前预告40.3-41.9亿元；归母净利润20.65亿元，同比增长27.9%，此前预告20.2-21.0亿元。…24Q1-3净利率达50.24%，此前23年净利率为46.23%。,pdf/2024-12-12/email_3eddf140-257c-59a4-bb07-59ebd0aff1de.md
德赛西威2024-2026年在智能座舱和智能驾驶领域因小米汽车订单贡献的收入预计是多少？,中性预期下，德赛西威2024-2026年因小米汽车订单贡献的整体收入分别为35.2亿元、49.3亿元和76.8亿元；乐观预期下分别为35.2亿元、50.9亿元和135.9亿元。,1）中性预期下，我们预测2024-2026年小米汽车月均销量分别为2、3、5w台，高端智能驾驶方案选配率按照65%预测，且后续不再提升。预测小米汽车对于西威整体收入贡献为35.2、49.3、76.8亿元；2）乐观预期下，我们预测2024-2026年小米汽车月均销量分别为2、3、8.3w台，高端智能驾驶方案选配率按照65%预测，后续按照每年5%的幅度提升。预测小米汽车对于西威整体收入贡献为35.2、50.9、135.9亿元。,pdf/2024-12-12/email_1d621973-073c-54c4-a75d-c4ba6e905b8c.md
浪潮信息2024年预计实现利润多少亿元，当前PE约为多少？,浪潮信息预计2024年实现利润25亿元，目前PE约为26倍。,高增速低估值、业绩有望持续超预期。预计24年实现利润25亿元，目前PE约26x，考虑到供应链缓解及国产AI芯片未来存在持续超预期的可能，公司目前具备相当性价比。,pdf/2024-12-12/email_1d621973-073c-54c4-a75d-c4ba6e905b8c.md
通化东宝在2024年第二季度出现业绩承压和亏损的主要原因是什么？,通化东宝2024年第二季度胰岛素业务业绩承压，主要由于胰岛素续约前存在降价预期，公司对产品发货有所控制；同时针对研发项目计提减值，导致单季度利润出现亏损。,通化东宝：集采续约对经营节奏造成影响，业绩承压拖累短期股价。胰岛素续约前由于产品存在降价预期，公司对产品发货有所控制，24Q2胰岛素业务承压，同时公司针对研发项目计提减值，单季度利润出现亏损。,pdf/2024-12-12/email_39edce73-bf97-5873-bc55-0cacc40abfff.md
甘李药业2023年和2024年前三季度的净利润情况如何，其主要增长动力是什么？,2023年甘李药业净利润达3.4亿元，顺利完成年度股权激励考核目标；2024年前三季度已实现净利润5.07亿元，同比增长90%。主要增长动力为胰岛素集采续约提价，以及GLP-1创新药GZR18和胰岛素周制剂GZR4持续读出积极临床数据。,2023年公司净利润达3.4亿元，已顺利完成首年股权激励考核目标，2024Q1-3已实现净利润5.07亿元，同比增长90%。2024年的股价驱动主要得益于胰岛素续约提价、以及GLP-1创新药GZR18和胰岛素周制剂GZR4不断读出积极临床数据。,pdf/2024-12-12/email_39edce73-bf97-5873-bc55-0cacc40abfff.md
通化东宝和甘李药业胰岛素出海在新兴和发达市场的最新进展如何？,甘李药业已在新兴市场实现快速放量，2024年上半年收入1.25亿元；通化东宝的三代胰岛素也在陆续获得新兴市场国家准入。同时，两家公司积极布局欧美市场，甘李已将多款胰岛素向FDA申报，通化东宝与健友股份合作，计划2025年向FDA提交上市申请。,甘李已在新兴市场实现快速放量（2024H1收入1.25亿元），东宝的三代胰岛素也在陆续进行新兴市场国家的准入。同时，两家企业也在积极布局空间更大、壁垒更高的欧美市场。2023年2月，公司甘精胰岛素上市申请获得FDA受理，2023年6月美国FDA受理了赖脯胰岛素和门冬胰岛素的BLA申请。2023年9月，通化东宝与健友股份签署合作协议，根据协议，公司有望于2025H1向FDA分别提交门冬胰岛素、甘精胰岛素的上市申请。,pdf/2024-12-12/email_39edce73-bf97-5873-bc55-0cacc40abfff.md
2024年上半年上海银行的现金分红总额及分红比例是多少？,上海银行每股现金分红为0.28元，共计派发39.78亿元，分红占2024H1归母利润比例为31%。,【上海银行】每股现金分红0.28元，共计派发39.78亿元，分红占24H1归母利润比例31%，股权登记日为2024年11月27日。,pdf/2024-12-12/email_57fdc8f1-7f02-56e7-86e3-e8917b0ab3f9.md
2024年第三季度南京银行的累计净利润同比增速和拨备覆盖率分别是多少？,南京银行2024年Q1-Q3累计净利润同比增速为9.02%，拨备覆盖率为340%。,南京银行 ... 利润增速 24Q1-Q3：9.02%；拨备覆盖率 24Q3：340%（见图表19）。,pdf/2024-12-12/email_57fdc8f1-7f02-56e7-86e3-e8917b0ab3f9.md
2024年第三季度招商银行净息差是多少？,招商银行2024年第三季度净息差为1.63%。,表格显示：股份行净息差（招商银行归属于股份行）24Q3为1.63%。,pdf/2024-12-12/email_57fdc8f1-7f02-56e7-86e3-e8917b0ab3f9.md
国盛证券研究所如何判定主动权益型基金经理的代表产品？具体的选取原则有哪些？,国盛证券研究所判定主动权益型基金经理的代表产品时，依次尽量满足以下原则：（1）单独管理；（2）管理时长大于等于1年；（3）产品规模大。在满足前两个条件的前提下，再按照产品规模选择更大的作为基金经理代表产品。,那么如何判定基金经理的代表产品？有几个选取原则：1）单独管理; 2）管理时长>1年; 3）产品规模大; 本文会判定基金经理在历史每个日期当时的代表产品，依次尽量满足上述原则1和2的前提下，再按照原则3选择产品规模较大的作为基金经理代表产品。,pdf/2024-12-12/email_96a58c51-82a1-5ccc-9fba-d28556a13b5a.md
根据国盛证券研究所的数据，基金经理在管规模过大会对其超额收益能力产生什么影响？,国盛证券研究所的统计数据显示，基金经理在管规模过大会对其超额收益能力有显著负面影响。以管理规模首次达到100亿元为例，事件后1年内相较于事件前1年，平均超额收益率下降了16.74%，超额下降概率为79.23%，超额下降幅度平均为25.27%。,"据统计，该事件的有效统计次数为650次，超额下降概率为79.23%，超额下降幅度平均为25.27%。
表：事件名称：在管规模过大
事前超额平均值：15.47%
事后超额平均值：-1.27%
平均值变化：-16.74%",pdf/2024-12-12/email_96a58c51-82a1-5ccc-9fba-d28556a13b5a.md
使用国盛证券研究所构建的基金经理层面数据库后，量化FOF组合的年度超额收益有何改进？（以2013-2024年为例）,在2013年至2024年期间，采用经理维度FOF组合策略相较于产品维度FOF组合，年度超额收益多数年份均为正，部分年度超额收益最大达4.48%（2020年），2024年累计超额为3.03%。这说明基金经理层面数据库能显著提升FOF组合的表现。,"图表16：策略的分年度收益率对比（计算区间：2013/1/28-2024/10/31）
年度超额收益（部分）如下：
2013年：2.28%
2014年：2.13%
2015年：2.47%
2020年：4.48%
2024 YTD：3.03%",pdf/2024-12-12/email_96a58c51-82a1-5ccc-9fba-d28556a13b5a.md
2024年11月22日，华大基因在AI医疗领域有哪些主要产品和技术布局？,华大基因在肿瘤及慢病防控领域推出Geline灵曦——AI+一站式NGS实验室整体解决方案，集成自动化设备、测序仪和基因分析一体机，并配备AI任务调度、分析解读、验证设计三大模块；发布首个基因检测多模态大模型GeneT(GeneticTransformer)，用于妇幼健康领域，提升检测效率，有望实现全自动化解读；此外，发布生成式生物智能范式GBIALL，是针对遗传病诊断的智能化解读工具。,> 华大基因在基因检测领域推出NGS实验室整体解决方案Geline 灵曦、基因检测大模型GeneT、遗传病智能化解读工具GBIALL;,pdf/2024-12-12/email_7c3974a7-7d8a-5825-8bd5-aa4755e3109c.md
海通证券预计2025年A股归母净利润同比增速是多少？,2025年A股归母净利润同比增速有望上升至5-10%。,展望明年，随着货币和财政政策持续发力，我们预计25年实际GDP同比增速或在5%左右，同时25年A股归母净利润同比增速有望上升至5-10%，进而支撑A股年度中枢抬升。,pdf/2024-12-12/email_f27984a3-e8e7-5d3b-a9aa-107c1cb96148.md
大全能源（688303.SH）2024年第三季度的净亏损是多少，同比和环比变动如何？,2024年第三季度归母净亏损为人民币4.29亿元，同比收窄162.27%，环比收窄57.13%。,"Q3 net loss attributable to the parent company stood at RMB429mn, down 162.27% YoY but improving 57.13% QoQ.",pdf/2024-12-12/email_a4bcf804-e343-5b56-bbe7-a12caf44d867.md
大全能源（688303.SH）截至2024年三季度末持有的现金及等价物和定期存款分别是多少？公司资产负债率是多少？,截至三季度末，公司持有现金及现金等价物约为58.3亿元人民币，定期存款约为100亿元人民币，资产负债率仅为11%。,"By the end of Q3, cash and cash equivalents totaled RMB5.83bn, with around RMB10bn in term deposits. The company's debt-to-asset ratio remains low at just 11%, indicating a highly secure financial position.",pdf/2024-12-12/email_a4bcf804-e343-5b56-bbe7-a12caf44d867.md
招商蛇口于2024年11月19日回购了多少股份，涉及资金总额是多少？,招商蛇口于2024年11月19日回购公司股份443万股，人民币4761万元。,【招商蛇口】11月19日，公司首次通过股份回购专用证券账户以集中竞价方式回购公司股份443万股，人民币4761万元。,pdf/2024-12-12/email_db8dfc8d-d779-51b0-881c-919aaf64f6c8.md
滨江集团在本周于杭州拿下住宅用地的成交总价和建面数据分别是多少？,滨江集团于杭州摘得一块住宅用地，总地价39.5亿元，总建面8.2万方。,【滨江集团】于杭州摘得一块住宅用地，总地价39.5亿元，总建面8.2万方。,pdf/2024-12-12/email_db8dfc8d-d779-51b0-881c-919aaf64f6c8.md
湖南裕能高端铁锂正极产品2024年的出货占比及2025年展望如何？,湖南裕能当前高端产品出货占比接近30%，2025年有望提升至40%-60%。,Y9C和Y13产品各项性能对比同行更优，当前高端产品占比接近30%，明年有望提升至40-60%。,pdf/2024-12-12/email_aaf842d0-e177-5ba6-952e-c9f423d1d5be.md
华利集团、百隆东方、共创草坪等公司在海外产能及应对美国关税方面有何布局，具体海外产能结构与对美出口比重分别如何？,华利集团全部制造基地均在海外，主要在越南，24H1对美出口收入占比87%。百隆东方2024年上半年外销占比75%，越南产能占比77%。共创草坪对美出口收入约占35%，2024H1公司越南基地产能占总产能的52%。这些布局使企业加征关税的直接风险可控，并有望获取更多订单份额。,如华利集团全部制造基地均在海外：共创草坪对美出口收入约占35%、24H1公司越南基地产能占总产能的52%；百隆东方24H1外销占比75%、越南产能占比77%；匠心家居24H1对美出口收入占比90%、越南基地收入占比80%...重点关注产能出海布局较早、海外产能充足的公司，一方面加征关税对公司直接风险可控，另一方面或有利于公司获取更多订单份额。,pdf/2024-12-12/email_44b66e07-91fa-544a-b872-3a094498bdd2.md
截至2024年11月22日，华安沪深300量化增强A在沪深300增强基金中本周的超额收益是多少？,截至2024年11月22日，华安沪深300量化增强A在沪深300增强基金中本周超额收益为0.58%。,截止2024年11月22日，沪深300增强基金中，本周超额收益排名最高为华安沪深300量化增强A（0.58%）……,pdf/2024-12-12/email_f4e85e19-f9b4-5d36-812c-4644156c7ba8.md
截至2024年11月22日，万家量化同顺多策略A在主动量化基金中本周收益表现如何？,截至2024年11月22日，万家量化同顺多策略A在宽基类主动量化基金中本周收益排名最高，收益为2.22%。,截止2024年11月22白，宽基类主动量化基金中，本周收益排名最高为万家量化同顺多策略A（2.22%）……,pdf/2024-12-12/email_f4e85e19-f9b4-5d36-812c-4644156c7ba8.md
三一重工2024年上半年海外收入是多少，占总收入比重为多少？,2024年上半年三一重工海外收入为235.42亿元，同比增长4.79%，海外收入占比达到62.23%。,三一重工：（1）海外收入占比超过6成，带动整体盈利能力提升。根据公告，1H24 公司海外收入235.42亿元，同比+4.79%，海外收入占比达到62.23%，同比 +5.95pct。,pdf/2024-12-12/email_aaff6426-a040-56f2-b830-66ec0817d08b.md
2024年前三季度，贵州茅台公司的营业收入和归母净利润同比增长情况如何？,2024年前三季度，贵州茅台营业收入同比增长分别为18%、17%、15%；归母净利润同比增长分别为16%、16%、13%。,24Q2起白酒动销反馈走弱，在中报时已初见端倪（特别是多数酒企预收款同比下滑）、三季报超预期降速（24Q3除贵州茅台以外的上市酒企营收同比-6.8%)。表格数据：贵州茅台，营业收入yoy：24Q1 18%，24Q2 17%，24Q3 15%；归母净利yoy：24Q1 16%，24Q2 16%，24Q3 13%。,pdf/2024-12-12/email_35375187-bdc1-58c0-8776-617af28c57b7.md
2024年伊利股份的存货减值损失和其占净利润比例是多少？,2023年伊利股份存货减值损失达到12.22亿元，占当年净利润的12%；2024年上半年存货减值损失达到4.80亿元，占上半年扣非净利润的9%。,近几年由于原奶价格的下跌，乳制品企业在存货计提减值、联营企业损益等因素影响下利润受到影响，2023年伊利股份存货减值损失达到12.22亿元，占当年净利润的12%，24H1存货减值损失达到4.80亿元，占上半年扣非净利润的9%...,pdf/2024-12-12/email_35375187-bdc1-58c0-8776-617af28c57b7.md
2025年东鹏饮料公司的收入和归母净利润预测分别是多少？,东鹏饮料2025年收入预测为197亿元，归母净利润预测为40亿元。,表格67：软饮料板块重点公司24-26年盈利预测，东鹏饮料2025E：收入197亿元，归母净利40亿元。,pdf/2024-12-12/email_35375187-bdc1-58c0-8776-617af28c57b7.md
截至2024年11月22日，中金普洛斯REIT的成交量在本周二级市场上处于什么水平？,中金普洛斯REIT本周成交量为0.48亿份，居所有REITs本周成交量排名首位。,成交量方面，中金普洛斯REIT、建信中关村REIT、国泰君安东久新经济REIT本周成交量靠前，分别是0.48亿份、0.38亿份、0.37亿份；,pdf/2024-12-12/email_28c0e0f8-d06e-5c58-9b64-987b9fa35202.md
截至2024年11月22日，华夏中国交建REIT的内部收益率（IRR）是多少？,华夏中国交建REIT的内部收益率（IRR）为12.20%。,截至本周五，内部收益率（IRR）排名前三的产品是华夏中国交建REIT、中金安徽交控REIT、平安广州广河REIT，对应IRR分别为12.20%、11.44%、11.11%。,pdf/2024-12-12/email_28c0e0f8-d06e-5c58-9b64-987b9fa35202.md
迈为股份2023年HJT设备市场占有率是多少？其主要客户包含哪些企业？,2023年国内市场招标量55GW，迈为股份中标量达39GW，市占率71%。迈为股份主要客户包括华晟、REC、金刚玻璃、日升等HJT电池龙头企业。,2023年国内市场招标量55GW，迈为股份中标量达39GW，市占率71%。迈为客户主要包括华晟、REC、金刚玻璃、日升等HJT电池龙头企业。,pdf/2024-12-12/email_7d2cf1f6-261a-5b3e-95fb-25412bfa9398.md
2024年H1末，晶盛机电的应收账款前五大客户占比是多少？长尾风险如何？,截至2024H1末，应收的前五大客户占比较高，尤其晶盛机电占比高达70%，多为下游头部企业，长尾风险小。,截止2024H1末，应收的前五大客户占比较高尤其晶盛占比高达70%，表明多为下游头部企业，长尾风险小。,pdf/2024-12-12/email_7d2cf1f6-261a-5b3e-95fb-25412bfa9398.md
2024年8月奥特维获得的0BB串焊机大额采购订单是多少？其OBB串焊机产能如何？,2024年8月奥特维成功获得某龙头客户10+GW超高速0BB串焊机大额采购订单。奥特维的超高速OBB串焊设备产能可达10800半片/小时（G12）。,2024年8月奥特维成功获得某龙头客户10+GW超高速0BB串焊机大额采购订单。...产能可达10800半片/小时（G12），且兼容多种焊接工艺和电池技术。,pdf/2024-12-12/email_7d2cf1f6-261a-5b3e-95fb-25412bfa9398.md
华友钴业2024年前三季度营收和归母净利润分别是多少？同比变化如何？,2024年前三季度华友钴业实现营收454.9亿元，同比下降11%，归母净利润30.2亿元，同比增长0.2%。,2024年前三季度公司实现营收454.9亿元，同比-11%，归母净利润30.2亿元，同比+0.2%，扣非后30.4亿元，同比+12%。,pdf/2024-12-12/email_e0cd79e0-5118-531e-8cd7-70fec318730b.md
华友钴业2024年第三季度镍产品的出货量是多少？电镍占比如何？,2024年第三季度，华友钴业镍产品出货量为6万吨，其中电镍出货4.3万吨，占比约60%。,2024Q3镍产品出货量6万吨，环比+45%，其中电镍出货4.3万吨，环比翻倍、增长显著。,pdf/2024-12-12/email_e0cd79e0-5118-531e-8cd7-70fec318730b.md
华友钴业的三元材料主要客户涵盖了哪些国内外企业？,华友钴业的三元材料产品已覆盖宁德时代、LGES、三星SDI、国轩高科、亿纬锂能、远景AESC等全球动力电池厂，终端应用于特斯拉、BMW、Stellantis、大众、现代、通用、福特、戴姆勒、雷诺、极氪、长安、吉利汽车等国内外车企品牌。,锂电材料方面，公司三元材料产品已覆盖宁德时代、LGES、三星SDI、国轩高科、亿纬锂能、远景AESC 等全球动力电池厂，终端应用于特斯拉、BMW、Stellantis、大众、现代、通用、福特、戴姆勒、雷诺、极氪、 长安、吉利汽车等国内外车企品牌。,pdf/2024-12-12/email_e0cd79e0-5118-531e-8cd7-70fec318730b.md
2025年万华化学在全球MDI市场的产能和市占率如何变化？,2023年底万华化学全球MDI产能扩至310万吨，市占率达30.0%。预计2024年产能为350万吨，市占率31.6%；2025年产能将提升至410万吨，市占率升至35.1%。,MDI：仍然没有新进企业加入，P2023年底全球龙头万华化学总产能扩至310万吨，全球市占率达32%，2024年落地福建基地扩能项目……如下表，万华化学产能2023年310万吨，2024年350万吨，2025年410万吨，市占率分别为30.0%、31.6%、35.1%。,pdf/2024-12-12/email_6fb31882-e768-543a-8797-2eabbe7f3397.md
2023年龙佰集团的钛白粉产能是多少？,2023年龙佰集团钛白粉产能为151万吨。,2023年全球钛白粉产能约为981.9万吨，其中中国产能约589.2万吨...其中龙佰集团产能151万吨。,pdf/2024-12-12/email_6fb31882-e768-543a-8797-2eabbe7f3397.md
